id,twitter
38,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
39,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
40,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
41,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
42,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
43,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
44,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
45,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
46,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
47,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
48,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
49,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
50,"Ayuh @SPRMMalaysia jalankan kerja dn kewajipan, kamu tiada dikongkong oleh sesiapa lagi ..  "
